台灣自來水股份有限公司第三區管理處,,,,,,,,
材料清單,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
工程名稱,新竹縣富百田社區開發供水機電工程,,,會計科目,,,,
施工地點,新竹縣,,,工程編號,WQ11031101,,,
項 次,項  目  及  說  明,單 位,數 量,單 價,複 價,,,編碼(備註)
<一>,　施工費：(發包部份),,  ,,,,,
<A>,　　施工費(項目),,  ,,,,,
<1>,　　　竹北營運所,,  ,,,,,
31,電纜（線）、控制通訊線、匯流排及色套線號端子等,式, 1.00 ," 5,500 "," 5,500 ",,,
32,導線管，硬質聚氯乙烯塑膠管，標稱28mm,M, 24.00 ,, 不含估價 ,,,CNS 1302
33,導線管，硬質聚氯乙烯塑膠管，標稱52mm,M, 16.00 ,, 不含估價 ,,,CNS 1302
34,C型鋼管夾固定組(不銹鋼製),組, 5.00 ,, 不含估價 ,,,
35,圖控或PLC軟體設計費,工, 3.00 ,, 不含估價 ,,,詳規範
36,圖控或PLC試車及調整,工, 3.00 ,, 不含估價 ,,,詳規範
37,監控系統及通訊控制器軟體增修,工, 4.00 ,, 不含估價 ,,,詳規範
38,運什費,車, 1.00 ,, 不含估價 ,,,
39,系統測試及調整費,式, 1.00 ,, 不含估價 ,,,
40,電工,工, 15.00 ,, 不含估價 ,,,(含辦理用電電信線路申請手續等)
,盤內組裝工資,式, 1.00 ," 19,000 "," 19,000 ",,,
41,低壓配電盤，五金及另料(約3%),式, 1.00 ," 2,500 "," 2,500 ",,,材料部份(不含工資、試車調整及運費等)
,富百田北區水位傳計,,  ,,,,,
<6>,　　　富百田東區水位傳訊站,,  ,,,,,
1,低壓配電盤，(電力公司電表箱，30A以下)，一般屋外型，304不銹鋼板，含箱內結線及支持礙子等,只, 1.00 ," 22,000 "," 22,000 ", 順大電機 ,,t≧2.0mmt，，依台電標準，詳圖說或規範
2,低壓配電盤，(配電箱，屋外型，粉體烤漆)，W:700，H:2200，D:600,座, 1.00 ," 68,400 "," 68,400 ", 順大電機 ,,(含基座等)詳圖及第163215章規範
3,低壓配電盤，控制開關，閘刀開關，1∮2W,只, 1.00 ," 1,100 "," 1,100 ", 光威 ,,100A(A級)
4,軌道型歐規保險絲座(熔斷指示燈LED)，含保險絲(2A),只, 5.00 , 100 , 500 ,,,#
5,無熔線斷路器，2P，20AT，15kA，110V，(AC，Ics),只        , 4.00 ," 1,400 "," 5,600 ", 三菱 , NF63-SV ,詳圖說或規範
6,低壓配電盤，電壓錶，0-110V，廣角度,只, 1.00 ," 1,000 "," 1,000 ", 勝全 , LS-110 ,詳圖說或規範
