rank,project_id,candidate_status,candidate_status_reasons,reference_availability,detected_output_types,workbook_candidate_count,candidate_permitted_input_count,current_cohort,previous_screening_status,previous_bundle_status,total_score
81,1140602,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,4,4,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,76.658054
82,1141009,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,4,4,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,76.269466
83,1131206,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,76.083914
84,1140501,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,4,4,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,75.752151
85,1130904,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,3,3,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,75.27227
86,1140703,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,3,3,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,75.137
87,1141203,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,4,4,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,75.030893
88,1131201,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,74.978384
89,1140405,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,3,3,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,74.948482
90,1131008,REFERENCE_PRESENCE_REVIEW_REQUIRED,metadata v2 found only a partial reference set,PARTIAL_REFERENCE_SET,SHEET_METAL,7,7,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,74.880436
